LTGNR,KD_LTGNR,SLNR,LAENG,ART,QUERS,FARBE,KSID,ABGRIF1,KA1,ANSCH1,ABGRIF2,KA2,ANSCH2,PLATZ,BGID,TARGET_BG,BG_LIDENT,BG_CIDENT,Kaufteil,SEAL1,SEAL2,TOP1,TOP2,MW_IDENT,LIDENT,SL_LIDENT,CIDENT,KD_ABGRIF1,KD_ABGRIF2,V_IDENT,V_IDENT_VERS,SIGNAL,LTG_KENNUNG
1,1,,500,YR,"0,75",br,P1223508,SP_MB687A1,,,SP_MB687A,,,19s,band,pfsb,,,,,,16,16,905302,L0092377,,C0181605,SP_MB687A1,SP_MB687A,,,M.31..MB687_A1,
1,1,,500,YR,"0,75",br,P1223510,SP_MB687A1,,,SP_MB687A,,,19s,band,pfsb,,,,,,16,16,905302,L0092377,,C0181605,SP_MB687A1,SP_MB687A,,,M.31..MB687_A1,
1,1,,500,YR,"0,75",br,P1223512,SP_MB687A1,,,SP_MB687A,,,19s,band,pfsb,,,,,,16,16,905302,L0092377,,C0181605,SP_MB687A1,SP_MB687A,,,M.31..MB687_A1,
1,1,,500,YR,"0,75",br,P1223514,SP_MB687A1,,,SP_MB687A,,,19s,band,pfsb,,,,,,16,16,905302,L0092377,,C0181605,SP_MB687A1,SP_MB687A,,,M.31..MB687_A1,
2,2,,1810,YR,"0,35",br,P1223507,HLI,3,24148,SP_MB687A1,,,04c,band,pfsb,,,,,,,16,950002,L0452222,,C0043701,HLI,SP_MB687A1,,,M.31..MB687_A1,SIGNAL
3,3,,820,YR,4,br ws,P1223507,MB639C,1,62035,SP_MB639C,,,03c,band,pfsb,,,,,,,16,907071,L0582027,,C1596263,MB639C,SP_MB639C,,,M.31..MB639_C1,
4,4,,820,YR,"1,5",br,R666166,MB639B,1,2661,SP_MB639B,,,29,band,pfsb,,,,,,,16,905902,L0489241,,C0202765,MB639B,SP_MB639B,,,M.31..MB639_B1,
6,6,,1680,YR,"2,5",br gn,P1223507,PBSR,18,76654,SP_MB638A,,,05b,band,pfsb,,,,,,,16,906535,L0655444,,C2131415,PBSR,SP_MB638A,,,M.31..MB638_A1,
7,7,,560,YR,"2,5",br ws,P1223507,QSAA,12,56544,SP_MB639C,,,01b,band,pfsb,,,,,,,16,906540,L0595811,,C2132457,QSAA,SP_MB639C,,,M.31..MB639_C1,
8,8,,510,YR,4,br gn,R666166,MB638A,1,62035,SP_MB638A,,,29,band,pfsb,,,,,,,16,907111,L0695249,,C2133269,MB638A,SP_MB638A,,,M.31..MB638_A1,
9,9,,1980,YR,"0,35",br ge,P1223507,ICAS1A,31,24148,SP_MB638B1,,,04b,band,pfsb,,,,,,,16,950101,L0463906,,C0037516,ICAS1A,SP_MB638B1,,,M.31..MB638_B1,SIGNAL
10,10,,1730,YR,"0,35",br,P1223507,HMUL,2,24350,SP_MB639B,,,05c,band,pfsb,,,,,,,16,950002,L0480476,,C2097486,HMUL,SP_MB639B,,,M.31..MB638_B1,SIGNAL
12,12,,1680,YR,"0,75",br,P1223508,SP_MB687A2,,,SP_MB687A,,,19s,band,pfsb,,,,,,16,16,905302,L0092377,,C1500079,SP_MB687A2,SP_MB687A,,,M.31..MB687_A1,
12,12,,1680,YR,"0,75",br,P1223510,SP_MB687A2,,,SP_MB687A,,,19s,band,pfsb,,,,,,16,16,905302,L0092377,,C1500079,SP_MB687A2,SP_MB687A,,,M.31..MB687_A1,
12,12,,1680,YR,"0,75",br,P1223512,SP_MB687A2,,,SP_MB687A,,,19s,band,pfsb,,,,,,16,16,905302,L0092377,,C1500079,SP_MB687A2,SP_MB687A,,,M.31..MB687_A1,
12,12,,1680,YR,"0,75",br,P1223514,SP_MB687A2,,,SP_MB687A,,,19s,band,pfsb,,,,,,16,16,905302,L0092377,,C1500079,SP_MB687A2,SP_MB687A,,,M.31..MB687_A1,
13,13,,1600,YR,"0,5",br ws,P1223507,SP_MB639C1,,,PDG,4,70108,02c,BG639C,band,,,,,,16,,905040,L0436486,,C2223418,SP_MB639C1,PDG,V1201089,17,M.31..MB639_C1,
15,15,,1600,YR,"0,5",br ws,P1223507,SP_MB639C1,,,PDG,5,70108,02c,BG639C,band,,,,,,16,,905040,L0436486,,C2223418,SP_MB639C1,PDG,V1201089,17,M.31..MB639_C1,
18,18,,610,YR,"2,5",br ws,P1223507,QSAA,63,56544,SP_MB639C,,,01b,band,pfsb,,,,,,,16,906540,L0595811,,C1357474,QSAA,SP_MB639C,,,M.31..MB639_C1,
19,19,,830,YR,4,br,P1223507,MB639A,1,62035,SP_MB639A,,,03c,BG639A,band,,,,,,,16,907052,L0063773,,C1954394,MB639A,SP_MB639A,V1201088,7,M.31..MB639_A1,
